id,company_id,project_id,main,sku,ean,isbn10,title,description,images2,size,categories,brand,gender,author,publisher,binding,edition,number_of_pages,dimensions,weight,publish_date,language,delivery,amazon_rank_number,spnl_stock,spnl_cost,spfr_stock,spfr_cost,sp1_stock,sp1_cost,sp2_stock,sp2_cost,sp3_stock,sp3_cost,sp5_stock,sp5_cost,sp7_stock,sp7_cost,image_ids,added_import_id,processing_stock
33922,1,1,1,NULL,9.78345E+12,3446247483,"Ella und die Ritter der Nacht (Ella, 11, Band 11","Es beginnt mit einem MissverstÃ¤ndnis. Als Pekka, der KlassendÃ¶del, in der Schule erzÃ¤hlt, sein fieser Trainer habe ihn aus der Mannschaft geschmissen. Da denken alle, er redet vom Eishockey. Es war aber ein Wasserballteam, aus dem er geflogen ist. Das hat Pekka nur vergessen zu erwÃ¤hnen. BlÃ¶d nur, dass Timo so eine tolle Idee hat: Ihr eigenes Eishockeyteam, die ""Ritter der Nacht"", soll es Pekkas altem Team zeigen! Jetzt mÃ¼ssen also eine Eishockey- und eine Wasserballmannschaft gegeneinander antreten. Normalerweise geht das gar nicht, aber bei Ella und ihren Freunden wird es ein echtes Spektakel. Viel Humor und wahre Freundschaft machen in diesem Kinderbuch wieder einmal das UnmÃ¶gliche mÃ¶glich",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Timo Parvela,Carl Hanser Verlag GmbH & Co. KG,Hardcover,1st edition,192,13.5 x 1.8 x 20.9 cm,,23 Feb. 2015,,NULL,811199,0,0,0,0,0,0,2,6.01,0,0,0,0,0,0,85514,1,0
33923,1,1,1,NULL,9.78345E+12,3446248749,"Frerk, du Zwerg","Frerk ist klein, nicht besonders stark und haargenau so gekleidet wie sein Vater. Aber in seinem Kopf wohnen wilde Gedanken und bunte WÃ¶rter. Frerk will einen Hund, und zwar am liebsten einen riesengroÃŸen. Einen, auf dem man reiten kann und der Pfoten hat, groÃŸ wie die Pranken eines LÃ¶wen. Und was findet er stattdessen? Ein Ei! Ein Ei, das komische GerÃ¤usche macht und zufÃ¤lligerweise genau in Frerks Hosentasche passt. Als Frerk das Ei aus Versehen ausbrÃ¼tet, geht es plÃ¶tzlich rund",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Finn-Ole Heinrich,Carl Hanser Verlag GmbH & Co. KG,Hardcover,4th edition,87,17 x 1.3 x 23 cm,,11 Dec. 2014,,NULL,313897,0,0,0,0,0,0,3,9.72,0,0,0,0,0,0,85515,1,0
33924,1,1,1,NULL,9.78345E+12,3446262555,"Pekkas geheime Aufzeichnungen - Der KÃ¶nig des Dschungels (Pekka, 5, Band 5","Oh Schreck: Pekkas Hund Totti gerÃ¤t aus Versehen auf ein Schiff und ist auf dem Weg nach Borneo! FÃ¼r Pekka ist sofort klar: Er muss Totti retten! Also lassen sich Pekka und Senja per Paket nach Borneo schicken. Im tollsten Dschungel, den man sich vorstellen kann, freunden die beiden sich mit den vom Aussterben bedrohten Orang-Utans an. Und sie treffen wieder einmal auf die bÃ¶se KapitÃ¤nin Hahab, die mit den Affen ein RiesengeschÃ¤ft macht und den Urwald fÃ¼r den Anbau von Ãƒâ€“lpalmen brandrodet. NatÃ¼rlich werden Pekka und Senja von der KapitÃ¤nin erst einmal gefangen genommen. Aber gemeinsam mit ihren neuen Freunden, den Orang-Utans, Ã¼berlisten sie die Piraten, befreien Totti und tanzen in die Freiheit",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Timo Parvela,Carl Hanser Verlag GmbH & Co. KG,Hardcover,1st edition,136,15.4 x 1.6 x 21.6 cm,,5/13/2019,,NULL,227560,0,0,0,0,0,0,2,6.07,0,0,0,0,0,0,85516,1,0
33925,1,1,1,NULL,9.78345E+12,3446264388,"Jetzt noch ein Gedicht, und dann aus das Licht!: Poesie zur guten Nacht","Ein Fest fÃ¼r Sprachverdreher und ReimkÃ¼nstler. Von Ã¼ber 100 deutschsprachigen AutorInnen Ã¼bersetzt - genial illustriert von Christoph Niemann Ein groÃŸer, prÃ¤chtiger Band voller Gutenachtgedichte â€“ ein ganz besonderes Betthupferl fÃ¼r Kinder und Eltern. Ob Wortspielerei, einfache Reime zum Auswendiglernen und immer wieder Aufsagen oder klassisches Kindergedicht rund um Mond, Sternenhimmel und TeddybÃ¤r â€“ diese Gedichte sind direkt in die Lebenswelt der Kinder hineingeschrieben von Ã¼ber 130 amerikanischen AutorInnen. Sie stecken voller Abenteuer und Lebensfreude, erzÃ¤hlen von Kinderbuchhelden, MÃ¤rchenfiguren und Fantasiewesen und wecken die Lust an Sprache und Poesie. Ein Hausbuch fÃ¼r die ganze Familie mit unverwechselbaren Illustrationen von Christoph Niemann. Mit groÃŸer Leidenschaft Ã¼bersetzt von namhaften deutschsprachigen AutorInnen und ÃœbersetzerInnen",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Kenn Nesbitt,Carl Hanser Verlag GmbH & Co. KG,Hardcover,2nd edition,184,21.2 x 2 x 25.9 cm,,23 Sept. 2019,,NULL,490840,0,0,0,0,0,0,3,13.36,0,0,0,0,0,0,85517,1,0
33926,1,1,1,NULL,9.78345E+12,3446268049,Struwwelpeters RÃ¼ckkehr,"BÃ¼hne frei fÃ¼r eine humorvolle Neufassung des Struwwelpeters von Hans Magnus Enzensberger und Anke Kuhl. Ein Buch zum Vorlesen und gemeinsamen LachenVorhang auf fÃ¼r den Struwwelpeter des 21. Jahrhunderts: frech, wortwitzig und voller Ã¼berraschender Pointen inszeniert Hans Magnus Enzensberger die Geschichten rund um Daumenlutscher, Zappelphilipp und fliegenden Robert noch einmal neu â€“ ohne warnend-pÃ¤dagogischen Zeigefinger: Da wird der ungezÃ¤hmte Struwwelpeter zum MÃ¤dchenschwarm und der wilde JÃ¤ger zum ignoranten Despoten. Paulinchen zÃ¼ndelt nicht mehr fahrlÃ¤ssig, sondern trickreich, und der Suppenkaspar hungert aus Liebeskummer. Durch die Szenen fÃ¼hrt Dr. Heinrich Hoffmann selbst â€“ frei nach dem Motto: Ã¢â‚¬Å¾Meinetwegen, seid empÃ¶rt, und haltet nicht zu oft den Mund, denn Widerworte sind gesund. Sonst kann es auf der Welt nicht geben, ein Happy End in diesem Leben",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Hans Magnus Enzensberger,Carl Hanser Verlag GmbH & Co. KG,Hardcover,1st edition,48,14.3 x 1.1 x 21.8 cm,,19 Oct. 2020,,NULL,669813,0,0,0,0,0,0,11,9.72,0,0,0,0,0,0,85518,1,0
33927,1,1,1,NULL,9.78344E+12,3440175065,"Sternenschweif, BÃ¼cherhelden 1. Klasse, Der geheime See: Erstleser Kinder ab 6 Jahre","Seit der Kindheit fÃ¼rchtet sich Pony Rosa vor Wasser. Marta mÃ¶chte ihm so gern helfen, seine Angst zu Ã¼berwinden. Aber wie? Bestimmt haben Laura und Sternenschweif eine gute Idee! Um zu Ã¼ben, verabreden sie sich an einem geheimen See. Und tatsÃ¤chlich geht Rosa ins Wasser. Als sie am nÃ¤chsten Tag am Fluss ankommen, ist alles anders als in der magischen Nacht. Wird Rosa wieder schwimmen? Eine spannende BÃ¼cherhelden-Geschichte fÃ¼r LeseanfÃ¤nger ab der ersten Klasse. Ein traumhaftes Abenteuer Ã¼ber Freundschaft und Magie. Mit groÃŸer Schrift, vielen Bildern und einem RÃ¤tsel am Ende jedes Kapitels",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Linda Chapman,Kosmos,Hardcover,1st edition,48,15.8 x 1 x 22.2 cm,,21 Jun. 2023,,NULL,26146,0,0,0,0,21,6.08,21,6.07,0,0,0,0,0,0,10648,1,0
33928,1,1,1,NULL,9.78355E+12,3551033595,"Pixi-BÃ¼cher, 359: Weihnachten bei Julia und Jakob","Willkommen auf der Welt, kleiner Pinguin!Die groÃŸe Pinguinfamilie hat sich auf den Weg gemacht. Sie sucht einen schÃ¶nen Platz, um ihre KÃ¼ken auszubrÃ¼ten. Aber oh nein! Da kullert ja eins der Eier davon ... Hilfst du dem PinguinkÃ¼ken dabei, zu schlÃ¼pfen und seine Familie wiederzufinden?Maxi Pixi â€“ die kleinen groÃŸen BilderbÃ¼cher im Softcover",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Sophie Schoenwald,Carlsen,Perfect Paperback,1. edition,24,16 x 16 x 0.2 cm,,20 Oct. 2023,,NULL,78347,0,0,0,0,48,1.99,0,0,0,0,0,0,0,0,10649,1,0
33929,1,1,1,NULL,9.78384E+12,3841506070,Die Olchis fliegen zum Mond,"Gibt es Olchis auf dem Mond? Die Olchis sind zum ersten Mal in New York City - echt krÃ¶tig finden sie diesen Besuch! ZufÃ¤llig erfahren die Olchi-Kinder dort von einem streng geheimen Raumfahrtprojekt: All der leckere MÃ¼ll auf der Erde soll mit einer Rakete auf den Mond geschossen werden! Dabei lieben Olchis doch nichts so sehr wie AbfÃ¤lle. Kein Wunder, dass die Olchi-Kinder sich plÃ¶tzlich als blinde Passagiere an Bord der Rakete wiederfinden. Und damit beginnt ein groÃŸes Abenteuer, denn auf dem Mond sind die Olchis nicht allein Ã¢â‚¬Â¦ Ausflug zum Mond: ein olchigalaktischer SpaÃŸ im Olchi-Universum, von Erhard Dietl",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Erhard Dietl,Oetinger Taschenbuch,Paperback,1st edition,144,12.6 x 1.2 x 19 cm,,5/20/2019,,NULL,379085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10650,1,0
33930,1,1,1,NULL,9.78348E+12,3480236529,"My Duste-Licht-Book: When in the Dark Stars Sparkle: Good Night Book with Buste-Light and LED Lights, Compulsion Book for Children from 18 Months","Blow once and it glows! Complementary book for the little ones. This cardboard book for children aged 18 months and over impresses with its magical collaboration effect: blow once and the lights start to glow. So even the smallest ones can help the tired little animals fall asleep. Because Emma Duck, Fine Fox and Benni Bear just can't fall asleep. Blow once and the stars start to glow in the sky. So the animal children can close their eyes peacefully. A magical bedtime book with blow-out light! The LED lights integrated in the book are activated by the air flow when blowing and start to glow as if by magic. To save the battery, sleep mode is automatically activated after 2 minutes of inactivity. By switching on again, the book is ready for use for a new blow round",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Christina NÃ¶mer,Esslinger Verlag,Board book,5. edition,0,19 x 1.33 x 22 cm,,1 Aug. 2020,,NULL,67,0,0,0,0,0,0,11,8.5,0,0,0,0,0,0,10651,1,0
33931,1,1,1,NULL,9.78376E+12,3764152222,"FlÃ¼sterwald - Der Schattenmeister erwacht: Das spannende Staffelfinale! (FlÃ¼sterwald, Staffel I, Bd. 4): Bilderbuch","Endlich: Das groÃŸe Staffelfinale der beliebten Abenteuerreihe mit Suchtfaktor ab 9 Jahren!Seit Lukas auf dem Dachboden ein Portal zum FlÃ¼sterwald entdeckt hat, ist nichts mehr, wie es vorher war. Gemeinsam mit seinen neuen Freunden â€“ seiner MitschÃ¼lerin Ella, der Elfe Felicitas und dem wissbegierigen Menok Rani â€“ hat er schon viele magische Abenteuer erlebt. Doch nun ist der dunkle Magier zurÃ¼ckgekehrt. Und er plant nichts Geringeres, als das Herz des Waldes und obendrein den gesamten FlÃ¼sterwald zu zerstÃ¶ren. Auf die vier Freunde wartet eine fast unmÃ¶gliche Aufgabe!GroÃŸartiges Zusatzmaterial Ã¢â‚¬â€¢ nur in der ersten Auflage des 4. Bandes enthalten:persÃ¶nliche Signatur des Autors16 Bonusseiten: Ranis streng geheime Notizen Ã¼ber die Spezies MenschFarbiger Vor-und Nachsatz",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Andreas Suchanek,"Ueberreuter Verlag, Kinder- und Jugendbuch",Hardcover,3rd edition,256,15.2 x 3.5 x 21.3 cm,,2 Feb. 2022,,NULL,4023,0,0,0,0,59,9.08,0,0,0,0,0,0,0,0,10652,1,0
